PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"BRUCK, SD",,,,"BRUCK, SD",,,BIOLOGICAL EVALUATION OF BIOMATERIALS FOR CARDIOVASCULAR APPLICATIONS - SOME CURRENT RESULTS,MEDICAL PROGRESS THROUGH TECHNOLOGY,,,English,Article,,,,,,,,,"NATL HEART LUNG & BLOOD INST,BETHESDA,MD 20014",,,,,,,,26,6,6,0,0,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0047-6552,,,MED PROG TECHNOL,Med. Prog. Technol.,,1977.0,5,2,,,,,51,56,,,,,,6,"Engineering, Biomedical",Engineering,DX887,WOS:A1977DX88700001,927394.0,,,,2019-02-25
J,"GRAY, DN",,,,"GRAY, DN",,,OLEFIN-SO2 COPOLYMERS AS BIOMATERIALS,POLYMER ENGINEERING AND SCIENCE,,,English,Article,,,,,,,,,"OWENS ILLINOIS INC,CORP TECH,TOLEDO,OH 43666",,,,,,,,12,7,7,0,1,SOC PLASTICS ENG INC,BROOKFIELD CENTER,"14 FAIRFIELD DR, BROOKFIELD CENTER, CT 06804-0403",0032-3888,,,POLYM ENG SCI,Polym. Eng. Sci.,,1977.0,17,10,,,,,719,723,,10.1002/pen.760171004,,,,5,"Engineering, Chemical; Polymer Science",Engineering; Polymer Science,DZ314,WOS:A1977DZ31400003,,,,,2019-02-25
J,"HOFFMAN, AS",,,,"HOFFMAN, AS",,,APPLICATIONS OF RADIATION PROCESSING IN BIOMEDICAL-ENGINEERING - REVIEW OF PREPARATION AND PROPERTIES OF NOVEL BIOMATERIALS,RADIATION PHYSICS AND CHEMISTRY,,,English,Review,,,,,,,,,"UNIV WASHINGTON,DEPT CHEM ENGN,SEATTLE,WA 98195; UNIV WASHINGTON,CTR BIOENGN,SEATTLE,WA 98195",,,,,,,,56,44,44,2,5,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",,,,RADIAT PHYS CHEM,Radiat. Phys. Chem.,,1977.0,9,1-3,,,,,207,219,,10.1016/0146-5724(77)90080-2,,,,13,"Chemistry, Physical; Nuclear Science & Technology; Physics, Atomic, Molecular & Chemical",Chemistry; Nuclear Science & Technology; Physics,DH627,WOS:A1977DH62700012,,,,,2019-02-25
J,"REED, AM; GILDING, DK; WILSON, J",,,,"REED, AM; GILDING, DK; WILSON, J",,,BIODEGRADABLE ELASTOMERIC BIOMATERIALS - POLYETHYLENE OXIDE-POLYETHYLENE TEREPHTHALATE COPOLYMERS,TRANSACTIONS AMERICAN SOCIETY FOR ARTIFICIAL INTERNAL ORGANS,,,English,Article,,,,,,,,,"UNIV LIVERPOOL,BIOENGN UNIT,ICI,JOINT LAB,LIVERPOOL L69 3BX,LANCASHIRE,ENGLAND; ICI LTD,CENT TOXICOL LAB,ALDERLEY PK,CHESHIRE,ENGLAND",,,,,,,,6,12,12,0,3,GEORGETOWN UNIV MED CENTER,WASHINGTON,"DR GEORGE SCHREINER ROOM 2212 GEORGETOWN UNIV HOSP, WASHINGTON, DC 20007",0066-0078,,,T AM SOC ART INT ORG,,,1977.0,23,,,,,,109,115,,,,,,7,"Engineering, Biomedical; Surgery",Engineering; Surgery,DX325,WOS:A1977DX32500017,20685.0,,,,2019-02-25
J,"MATLAGA, BF; SALTHOUSE, TN; MCTERNAN, MB",,,,"MATLAGA, BF; SALTHOUSE, TN; MCTERNAN, MB",,,RABBIT EAR CHAMBER - UNIQUE INVIVO MODEL FOR CONTINUOUS OBSERVATION OF IMPLANTED BIOMATERIALS,BIOMATERIALS MEDICAL DEVICES AND ARTIFICIAL ORGANS,,,English,Article,,,,,,,,,"ETHICON RES FDN,SOMERVILLE,NJ 08876; JOHNSON & JOHNSON BABY PROD CO,RARITAN,NJ 08869",,,,,,,,7,2,2,0,0,MARCEL DEKKER INC,NEW YORK,"270 MADISON AVE, NEW YORK, NY 10016",0090-5488,,,BIOMATER ARTIF CELL,,,1976.0,4,3-4,,,,,359,366,,10.3109/10731197609118659,,,,8,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,CZ144,WOS:A1976CZ14400007,1021159.0,,,,2019-02-25
J,[Anonymous],,,,[Anonymous],,,BIOMATERIALS IN ORTHOPEDIC IMPLANTS,BIOMEDICAL ENGINEERING,,,English,Editorial Material,,,,,,,,,,,,,,,,,0,0,0,0,0,UNITED TRADE PRESS LTD,LONDON,"33-35 BOWLING GREEN LANE, LONDON, ENGLAND EC1R ODA",0006-3398,,,BIOMED ENG,,,1976.0,11,5,,,,,183,183,,,,,,1,"Engineering, Biomedical",Engineering,BT351,WOS:A1976BT35100005,,,,,2019-02-25
J,"HASTINGS, GW",,,,"HASTINGS, GW",,,BIOMATERIALS GROUP MEETING,BIOMEDICAL ENGINEERING,,,English,Editorial Material,,,,,,,,,"MED INST HARTSHILL,BIOMED ENGN UNIT,STOKE TRENT ST4 7NY,STAFFORDSHIRE,ENGLAND",,,,,,,,0,0,0,0,0,UNITED TRADE PRESS LTD,LONDON,"33-35 BOWLING GREEN LANE, LONDON, ENGLAND EC1R ODA",0006-3398,,,BIOMED ENG,,,1976.0,11,7,,,,,251,251,,,,,,1,"Engineering, Biomedical",Engineering,BZ615,WOS:A1976BZ61500004,,,,,2019-02-25
J,"MINNS, RJ; WILLIAMS, DF",,,,"MINNS, RJ; WILLIAMS, DF",,,ANNUAL-MEETING OF SOCIETY FOR BIOMATERIALS,BIOMEDICAL ENGINEERING,,,English,Editorial Material,,,,,,,,,"UNIV DURHAM,DEPT ENGN SCI,SCI LAB,DURHAM DH1 3LE,ENGLAND; UNIV LIVERPOOL,SCH DENT SURG,DEPT DENT SCI,LIVERPOOL L69 3BX,ENGLAND",,,,,,,,0,0,0,0,0,UNITED TRADE PRESS LTD,LONDON,"33-35 BOWLING GREEN LANE, LONDON, ENGLAND EC1R ODA",0006-3398,,,BIOMED ENG,,,1976.0,11,7,,,,,252,252,,,,,,1,"Engineering, Biomedical",Engineering,BZ615,WOS:A1976BZ61500005,,,,,2019-02-25
J,"BOWMAN, HF; BALASUBRAMANIAM, TA",,,,"BOWMAN, HF; BALASUBRAMANIAM, TA",,,NEW TECHNIQUE UTILIZING THERMISTOR PROBES FOR MEASUREMENT OF THERMAL-PROPERTIES OF BIOMATERIALS,CRYOBIOLOGY,,,English,Article,,,,,,,,,"NORTHEASTERN UNIV,DEPT MECH ENGN,BOSTON,MA 02115; MIT,HARVARD MIT PROGRAM HLTH SCI & TECHNOL,CAMBRIDGE,MA 02139",,,,,,,,5,17,17,0,2,ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,SAN DIEGO,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495",0011-2240,,,CRYOBIOLOGY,Cryobiology,,1976.0,13,5,,,,,572,580,,10.1016/0011-2240(76)90150-4,,,,9,Biology; Physiology,Life Sciences & Biomedicine - Other Topics; Physiology,CK154,WOS:A1976CK15400009,975861.0,,,,2019-02-25
J,"OCALLAGHAN, MG; CRAVALHO, EG; HUGGINS, CE",,,,"OCALLAGHAN, MG; CRAVALHO, EG; HUGGINS, CE",,,HEAT AND MASS-TRANSFER MODEL OF FREEZING OF BIOMATERIALS,CRYOBIOLOGY,,,English,Meeting Abstract,,,,,,,,,"MIT,CRYOGENIC ENGN LAB,CAMBRIDGE,MA 02139; HARVARD UNIV,SCH MED,DEPT SURG,SURG LOW TEMP UNIT,BOSTON,MA 02115; MASSACHUSETTS GEN HOSP,BLOOD BANK TRANSF SERV,BOSTON,MA 02114",,,,,,,,0,1,1,0,0,ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,SAN DIEGO,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495",0011-2240,,,CRYOBIOLOGY,Cryobiology,,1976.0,13,6,,,,,664,664,,10.1016/0011-2240(76)90066-3,,,,1,Biology; Physiology,Life Sciences & Biomedicine - Other Topics; Physiology,CM323,WOS:A1976CM32300056,,,,,2019-02-25
J,"CHEUNG, AY; KOOPMAN, DW",,,,"CHEUNG, AY; KOOPMAN, DW",,,EXPERIMENTAL DEVELOPMENT OF SIMULATED BIOMATERIALS FOR DOSIMETRY STUDIES OF HAZARDOUS MICROWAVE RADIATION,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,,,English,Note,,,,,,,,,"UNIV MARYLAND,DEPT RADIOL,RADIAT PHYS & RADIAT BIOL SECT,COLLEGE PK,MD 20742; UNIV MARYLAND,INST FLUID DYNAM & APPL MATH,COLLEGE PK,MD 20742",,,,,,,,8,23,23,0,2,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017-2394",0018-9480,,,IEEE T MICROW THEORY,IEEE Trans. Microw. Theory Tech.,,1976.0,24,10,,,,,669,673,,10.1109/TMTT.1976.1128936,,,,5,"Engineering, Electrical & Electronic",Engineering,CG010,WOS:A1976CG01000009,,,,,2019-02-25
J,"DEMIRAY, H; VITO, RP",,,,"DEMIRAY, H; VITO, RP",,,LARGE DEFORMATION ANALYSIS OF SOFT BIOMATERIALS,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,,,English,Article,,,,,,,,,"MARMARA RES INST, DIV APPL MATH, ISTANBUL, TURKEY; GEORGIA INST TECHNOL, SCH ENGN SCI & MECH, ATLANTA, GA 30332 USA",,,,,,,,10,14,15,0,0,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0020-7225,1879-2197,,INT J ENG SCI,Int. J. Eng. Sci.,,1976.0,14,9,,,,,789,793,,10.1016/0020-7225(76)90063-X,,,,5,"Engineering, Multidisciplinary",Engineering,CB050,WOS:A1976CB05000001,,,,,2019-02-25
J,"SEFTON, MV; MERRILL, EW",,,,"SEFTON, MV; MERRILL, EW",,,SURFACE HYDROXYLATION OF STYRENE-BUTADIENE-STYRENE BLOCK COPOLYMERS FOR BIOMATERIALS,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,,,"MIT,DEPT CHEM ENGN,CAMBRIDGE,MA 02139",,,,,,,,19,11,11,0,3,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,,1976.0,10,1,,,,,33,45,,10.1002/jbm.820100105,,,,13,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,BF526,WOS:A1976BF52600004,1249089.0,,,,2019-02-25
J,"COHEN, IK; DIEGELMANN, RF; WISE, WS",,,,"COHEN, IK; DIEGELMANN, RF; WISE, WS",,,BIOMATERIALS AND COLLAGEN-SYNTHESIS,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,,,"MED COLL VIRGINIA,DIV PLAST & RECONSTRUCT SURG,RICHMOND,VA 23298; MED COLL VIRGINIA,DEPT PATHOL,RICHMOND,VA 23298",,,,,,,,6,8,8,0,1,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,,1976.0,10,6,,,,,965,970,,10.1002/jbm.820100613,,,,6,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,CN760,WOS:A1976CN76000011,186458.0,,,,2019-02-25
J,"LEMONS, JE; RICHARDSON, WC",,,,"LEMONS, JE; RICHARDSON, WC",,,QUANTITATIVE STEREOLOGICAL INVESTIGATIONS OF POROUS ALUMINA IMPLANT BIOMATERIALS,JOURNAL OF DENTAL RESEARCH,,,English,Article,,,,,,,,,"UNIV ALABAMA,SCH DENT,DEPT BIOMAT,BIRMINGHAM,AL 35294",,,,,,,,11,2,2,0,1,AMER ASSOC DENTAL RESEARCH,ALEXANDRIA,"1619 DUKE ST, ALEXANDRIA, VA 22314",0022-0345,,,J DENT RES,J. Dent. Res.,,1976.0,55,1,,,,,111,114,,10.1177/00220345760550010201,,,,4,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine",BE048,WOS:A1976BE04800017,1060644.0,,,,2019-02-25
J,"LEMONS, JE; BASWELL, IL",,,,"LEMONS, JE; BASWELL, IL",,,MICROSTRUCTURES OF POROUS ALUMINA AND TRICALCIUM PHOSPHATE SURGICAL BIOMATERIALS,JOURNAL OF DENTAL RESEARCH,,,English,Meeting Abstract,,,,,,,,,"UNIV ALABAMA,SCH DENT,BIRMINGHAM,AL 35294",,,,,,,,0,0,0,0,0,AMER ASSOC DENTAL RESEARCH,ALEXANDRIA,"1619 DUKE ST, ALEXANDRIA, VA 22314",0022-0345,,,J DENT RES,J. Dent. Res.,,1976.0,55,,,,B,,B243,B243,,,,,,1,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine",BJ428,WOS:A1976BJ42800727,,,,,2019-02-25
J,"WILLIAMS, DF",,,,"WILLIAMS, DF",,,BIOMATERIALS AND BIOCOMPATIBILITY,MEDICAL PROGRESS THROUGH TECHNOLOGY,,,English,Article,,,,,,,,,"UNIV LIVERPOOL, SCH DENT SURG, DEPT DENT SCI, LIVERPOOL L69 3BX, LANCASHIRE, ENGLAND",,,,,,,,62,29,29,0,10,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0047-6552,,,MED PROG TECHNOL,Med. Prog. Technol.,,1976.0,4,1-2,,,,,31,42,,,,,,12,"Engineering, Biomedical",Engineering,BZ416,WOS:A1976BZ41600005,792673.0,,,,2019-02-25
J,"ROOHK, HV; PICK, J; HILL, R; HUNG, E; BARTLETT, RH",,,,"ROOHK, HV; PICK, J; HILL, R; HUNG, E; BARTLETT, RH",,,KINETICS OF FIBRINOGEN AND PLATELET ADHERENCE TO BIOMATERIALS,TRANSACTIONS AMERICAN SOCIETY FOR ARTIFICIAL INTERNAL ORGANS,,,English,Article,,,,,,,,,"UNIV CALIF IRVINE,DEPT SURG,IRVINE,CA 92664",,,,,,,,14,39,39,0,2,GEORGETOWN UNIV MED CENTER,WASHINGTON,"DR GEORGE SCHREINER ROOM 2212 GEORGETOWN UNIV HOSP, WASHINGTON, DC 20007",0066-0078,,,T AM SOC ART INT ORG,,,1976.0,22,,,,,,1,8,,,,,,8,"Engineering, Biomedical; Surgery",Engineering; Surgery,BZ601,WOS:A1976BZ60100001,951830.0,,,,2019-02-25
J,"LEDERMAN, DM; CUMMING, RD; PETSCHEK, HE; CHIU, TH; NYILAS, E; SALZMAN, E; COLLINS, REC; COE, NP",,,,"LEDERMAN, DM; CUMMING, RD; PETSCHEK, HE; CHIU, TH; NYILAS, E; SALZMAN, E; COLLINS, REC; COE, NP",,,INTRAVASCULAR MAGNETIC SUSPENSION OF A TEST DEVICE FOR INVIVO HEMOCOMPATIBILITY EVALUATION OF BIOMATERIALS,TRANSACTIONS AMERICAN SOCIETY FOR ARTIFICIAL INTERNAL ORGANS,,,English,Article,,,,,,,,,"AVCO CORP, EVERETT RES LAB,EVERETT,MA 02149; BETH ISRAEL HOSP,DEPT SURG,BOSTON,MA 02215",,,,,,,,6,2,2,0,1,GEORGETOWN UNIV MED CENTER,WASHINGTON,"DR GEORGE SCHREINER ROOM 2212 GEORGETOWN UNIV HOSP, WASHINGTON, DC 20007",0066-0078,,,T AM SOC ART INT ORG,,,1976.0,22,,,,,,545,553,,,,,,9,"Engineering, Biomedical; Surgery",Engineering; Surgery,BZ601,WOS:A1976BZ60100070,951873.0,,,,2019-02-25
J,"HANNA, MA; MOHSENIN, NN",,,,"HANNA, MA; MOHSENIN, NN",,,COMPOSITE BIOMATERIALS AS STRUCTURAL-MATERIALS FOR PACKAGING,TRANSACTIONS OF THE ASAE,,,English,Article,,,,,,,,,"UNIV NEBRASKA,DEPT AGR ENGN,LINCOLN,NB 68508; PENN STATE UNIV,DEPT AGR ENGN,UNIVERSITY PK,PA",,,,,,,,17,2,2,0,1,AMER SOC AGRICULTURAL ENGINEERS,ST JOSEPH,"2950 NILES RD, ST JOSEPH, MI 49085-9659",0001-2351,,,T ASAE,Trans. ASAE,,1976.0,19,2,,,,,390,395,,,,,,6,Agricultural Engineering,Agriculture,BP622,WOS:A1976BP62200042,,,,,2019-02-25
J,"BOWMAN, HF; CRAVALHO, EG; WOODS, M",,,,"BOWMAN, HF; CRAVALHO, EG; WOODS, M",,,"THEORY, MEASUREMENT, AND APPLICATION OF THERMAL PROPERTIES OF BIOMATERIALS",ANNUAL REVIEW OF BIOPHYSICS AND BIOENGINEERING,,,English,Review,,,,,,,,,"NORTHEASTERN UNIV, BOSTON, MA 02115 USA; MIT, CAMBRIDGE, MA 02139 USA; WALTER REED ARMY INST RES, WASHINGTON, DC 20012 USA",,,,,,,,323,201,202,0,12,ANNUAL REVIEWS,PALO ALTO,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, CA 94303-0139 USA",0084-6589,,,ANNU REV BIOPHYS BIO,,,1975.0,4,,,,,,43,80,,10.1146/annurev.bb.04.060175.000355,,,,38,"Biophysics; Engineering, Biomedical",Biophysics; Engineering,AG638,WOS:A1975AG63800003,1098563.0,,,,2019-02-25
J,"SALTHOUSE, TN; MATLAGA, BF",,,,"SALTHOUSE, TN; MATLAGA, BF",,,APPROACH TO NUMERICAL QUANTITATION OF ACUTE TISSUE RESPONSE TO BIOMATERIALS,BIOMATERIALS MEDICAL DEVICES AND ARTIFICIAL ORGANS,,,English,Article,,,,,,,,,"ETHICON RES FDN,HISTOL HISTOCHEM SECT,SOMERVILLE,NJ 08876",,,,,,,,10,14,14,1,4,MARCEL DEKKER INC,NEW YORK,"270 MADISON AVE, NEW YORK, NY 10016",0090-5488,,,BIOMATER ARTIF CELL,,,1975.0,3,1,,,,,47,56,,10.3109/10731197509118613,,,,10,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,AL600,WOS:A1975AL60000003,1139024.0,,,,2019-02-25
J,"MASON, RG; ZUCKER, WH; SHINODA, BA",,,,"MASON, RG; ZUCKER, WH; SHINODA, BA",,,SOME INTERACTIONS OF BLOOD WITH TUBULAR BIOMATERIALS,BIOMATERIALS MEDICAL DEVICES AND ARTIFICIAL ORGANS,,,English,Article,,,,,,,,,"UNIV N CAROLINA, DEPT PATHOL, CHAPEL HILL, NC 27514 USA",,,,,,,,26,8,8,0,1,MARCEL DEKKER INC,NEW YORK,"270 MADISON AVE, NEW YORK, NY 10016 USA",0090-5488,,,BIOMATER ARTIF CELL,,,1975.0,3,1,,,,,57,95,,10.3109/10731197509118614,,,,39,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,AL600,WOS:A1975AL60000004,1139025.0,,,,2019-02-25
J,"MASON, RG; SHINODA, BA",,,,"MASON, RG; SHINODA, BA",,,REACTIVITY OF BLOOD WITH BIOMATERIALS INVITRO - EVALUATION OF SOME INVITRO TEST SYSTEMS FOR ESTIMATION OF BLOOD COMPATIBILITY OF BIOMATERIALS,BIOMATERIALS MEDICAL DEVICES AND ARTIFICIAL ORGANS,,,English,Article,,,,,,,,,"UNIV N CAROLINA, DEPT PATHOL, CHAPEL HILL, NC 27514 USA",,,,,,,,26,2,2,1,2,MARCEL DEKKER INC,NEW YORK,"270 MADISON AVE, NEW YORK, NY 10016 USA",0090-5488,,,BIOMATER ARTIF CELL,,,1975.0,3,3,,,,,383,409,,10.3109/10731197509118632,,,,27,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,BF504,WOS:A1975BF50400007,1212495.0,,,,2019-02-25
J,"WILLIAMS, DF",,,,"WILLIAMS, DF",,,FUTURE PROSPECTS FOR BIOMATERIALS,BIOMEDICAL ENGINEERING,,,English,Article,,,,,,,,,"UNIV LIVERPOOL,SCH DENT SURG,DEPT DENT SCI,POB 147,LIVERPOOL L69 3BX,ENGLAND",,,,,,,,38,6,6,0,0,UNITED TRADE PRESS LTD,LONDON,"33-35 BOWLING GREEN LANE, LONDON, ENGLAND EC1R ODA",0006-3398,,,BIOMED ENG,,,1975.0,10,6,,,,,207,212,,,,,,6,"Engineering, Biomedical",Engineering,AF611,WOS:A1975AF61100001,1139027.0,,,,2019-02-25
J,"HALLEE, G; MCCARTHY, M; SASTRY, KSR",,,,"HALLEE, G; MCCARTHY, M; SASTRY, KSR",,,USE OF PHOTONUCLEAR ACTIVATION FOR MEASUREMENT OF CA/P RATIOS IN BIOMATERIALS,BULLETIN OF THE AMERICAN PHYSICAL SOCIETY,,,English,Meeting Abstract,,,,,,,,,"UNIV MASSACHUSETTS,AMHERST,MA",,,,,,,,0,0,0,0,0,AMER INST PHYSICS,WOODBURY,"CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999",0003-0503,,,B AM PHYS SOC,,,1975.0,20,4,,,,,563,564,,,,,,2,"Physics, Multidisciplinary",Physics,W0783,WOS:A1975W078300155,,,,,2019-02-25
J,"ESKIN, SG; TREVINO, L; LIE, JT; BENTINCK, DC",,,,"ESKIN, SG; TREVINO, L; LIE, JT; BENTINCK, DC",,,CALF AORTIC ENDOTHELIUM AND SMOOTH-MUSCLE CULTURED ON CARDIOVASCULAR BIOMATERIALS,CIRCULATION,,,English,Meeting Abstract,,,,,,,,,"BAYLOR UNIV,COLL MED,DEPT SURG,HOUSTON,TX; BAYLOR UNIV,COLL MED,DEPT PATHOL,HOUSTON,TX",,,,,,,,0,0,0,0,1,AMER HEART ASSOC,DALLAS,"7272 GREENVILLE AVENUE, DALLAS, TX 75231-4596",0009-7322,,,CIRCULATION,Circulation,,1975.0,52,4,,,,,179,179,,,,,,1,Cardiac & Cardiovascular Systems; Peripheral Vascular Disease,Cardiovascular System & Cardiology,AR266,WOS:A1975AR26600706,,,,,2019-02-25
J,"LEMONS, JE",,,,"LEMONS, JE",,,BIOMATERIALS SCIENCE PROTOCOLS FOR CLINICAL INVESTIGATIONS ON POROUS ALUMINA CERAMIC AND VITREOUS CARBON IMPLANTS,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,,,"UNIV ALABAMA,DEPT ENGN BIOPHYS,BIRMINGHAM,AL 35233; UNIV ALABAMA,DEPT BIOMAT,BIRMINGHAM,AL 35233",,,,,,,,18,3,3,0,0,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,,1975.0,9,4,,,,,9,16,,10.1002/jbm.820090404,,,,8,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,AK044,WOS:A1975AK04400002,1176514.0,,,,2019-02-25
J,"WHITE, EW; WEBER, JN; ROY, DM; OWEN, EL; CHIROFF, RT; WHITE, RA",,,,"WHITE, EW; WEBER, JN; ROY, DM; OWEN, EL; CHIROFF, RT; WHITE, RA",,,REPLAMINEFORM POROUS BIOMATERIALS FOR HARD TISSUE IMPLANT APPLICATIONS,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,,,"PENN STATE UNIV, MAT RES LAB, UNIVERSITY PK, PA 16802 USA; SUNY, UPSTATE MED CTR, ORTHOPAEDIC RES LAB, SYRACUSE, NY 13210 USA",,,,,,,,12,43,44,0,7,JOHN WILEY & SONS INC,HOBOKEN,"111 RIVER ST, HOBOKEN, NJ 07030 USA",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,,1975.0,9,4,,,,,23,27,,10.1002/jbm.820090406,,,,5,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,AK044,WOS:A1975AK04400004,1176505.0,,,,2019-02-25
J,"RICHARDSON, WC; KLAWITTER, JJ; SAUER, BW; PRUITT, JR; HULBERT, SF",,,,"RICHARDSON, WC; KLAWITTER, JJ; SAUER, BW; PRUITT, JR; HULBERT, SF",,,SOFT-TISSUE RESPONSE TO 4 DENSE CERAMIC MATERIALS AND 2 CLINICALLY USED BIOMATERIALS,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,,,"UNIV ALABAMA,SCH DENT,BIRMINGHAM,IL 35216; CLEMSON UNIV,DIV INTERDISCIPLINARY STUDIES,CLEMSON,SC 29631; TULANE UNIV,COLL ENGN,NEW ORLEANS,LA 70118",,,,,,,,11,10,10,0,6,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,,1975.0,9,4,,,,,73,80,,10.1002/jbm.820090411,,,,8,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,AK044,WOS:A1975AK04400009,170288.0,,,,2019-02-25
J,"NEUMANN, AW; HOPE, CJ; WARD, CA; HERBERT, MA; DUNN, GW; ZINGG, W",,,,"NEUMANN, AW; HOPE, CJ; WARD, CA; HERBERT, MA; DUNN, GW; ZINGG, W",,,ROLE OF SURFACE THERMODYNAMICS IN THROMBORESISTANCE OF BIOMATERIALS,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,,,"HOSP SICK CHILDREN,RES INST,TORONTO,ONTARIO,CANADA; UNIV TORONTO,DEPT SURG,TORONTO,ONTARIO,CANADA; UNIV TORONTO,DEPT MECH ENGN,TORONTO,ONTARIO,CANADA",,,,,,,,29,31,31,0,0,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,,1975.0,9,2,,,,,127,142,,10.1002/jbm.820090203,,,,16,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,W2040,WOS:A1975W204000001,1176474.0,,,,2019-02-25
J,"ROSS, N; LANGELAND, K; LEMONS, J; RYGE, G; HULBERT, S; SMITH, D; MUHLEMANN, H; FRANK, R; ZANDER, H",,,,"ROSS, N; LANGELAND, K; LEMONS, J; RYGE, G; HULBERT, S; SMITH, D; MUHLEMANN, H; FRANK, R; ZANDER, H",,,BIOMATERIALS - DISCUSSION,JOURNAL OF DENTAL RESEARCH,,,English,Discussion,,,,,,,,,,,,,,,,,0,0,0,0,0,AMER ASSOC DENTAL RESEARCH,ALEXANDRIA,"1619 DUKE ST, ALEXANDRIA, VA 22314",0022-0345,,,J DENT RES,J. Dent. Res.,,1975.0,54,NB,,,,,B171,B174,,,,,,4,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine",AJ467,WOS:A1975AJ46700027,,,,,2019-02-25
J,"SMITH, DC",,,,"SMITH, DC",,,BIOMATERIALS IN DENTISTRY,JOURNAL OF DENTAL RESEARCH,,,English,Review,,,,,,,,,"UNIV TORONTO,FAC DENT,TORONTO,ONTARIO,CANADA",,,,,,,,26,2,2,1,3,AMER ASSOC DENTAL RESEARCH,ALEXANDRIA,"1619 DUKE ST, ALEXANDRIA, VA 22314",0022-0345,,,J DENT RES,J. Dent. Res.,,1975.0,54,NB,,,,,B146,B152,,10.1177/00220345750540020901,,,,7,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine",AJ467,WOS:A1975AJ46700023,1055739.0,,,,2019-02-25
